funding_total_usd,country_code,state_code,region,city,funding_rounds,founded_at,first_funding_at,last_funding_at,target,funding_missing,funding_total_usd_log,founded_at_missing,first_funding_at_missing,last_funding_at_missing,startup_age_days,time_to_first_funding_days,funding_duration_days,main_category,category_count
6000000.0,USA,CA,SF Bay Area,San Francisco,2,2007-07-01,2007-01-01,2008-10-01,1,0,15.607270193858982,0,0,0,3078.0,-181.0,639.0,Search,1
14000000.0,USA,CA,SF Bay Area,San Jose,3,,2001-08-01,2003-08-29,1,0,16.454567959008102,1,0,0,3259.0,548.0,758.0,Application Platforms,3
40000000.0,USA,MI,Detroit,Ann Arbor,1,1989-01-01,2012-03-09,2012-03-09,1,0,17.50439003707821,0,0,0,9833.0,8468.0,0.0,Biotechnology,1
500000.0,USA,WA,Seattle,Vancouver,1,2000-04-02,2010-11-11,2010-11-11,1,0,13.122365377402328,0,0,0,5724.0,3875.0,0.0,Analytics,1
263400.0,IRL,10,Galway,Galway,1,2008-01-01,2007-01-01,2007-01-01,0,0,12.481432864791325,0,0,0,2894.0,-365.0,0.0,Music,3
400988.0,CAN,BC,Vancouver,Vancouver,3,1997-09-29,2010-11-03,2014-04-07,1,0,12.901689274491012,0,0,0,6640.0,4783.0,1251.0,Biotechnology,1
1770000.0,FRA,A8,Neuilly-sur-seine,Neuilly-sur-seine,1,2001-01-01,2005-11-08,2005-11-08,1,0,14.386490669521603,0,0,0,5450.0,1772.0,0.0,Software,1
4400000.0,USA,CA,SF Bay Area,Campbell,2,1997-01-01,2006-05-05,2009-05-04,0,0,15.29711532616119,0,0,0,6911.0,3411.0,1095.0,Curated Web,1
2700000.0,CHE,25,Zurich,Zürich,1,1988-01-01,2013-09-23,2013-09-23,1,0,14.80876270134486,0,0,0,10199.0,9397.0,0.0,Automotive,4
875000.0,USA,CA,SF Bay Area,San Mateo,5,2014-04-01,2013-07-30,2014-07-11,1,0,13.681980308196241,0,0,0,612.0,-245.0,346.0,E-Commerce,3
6790000.0,USA,IL,Chicago,Des Plaines,2,1991-01-01,2009-03-16,2011-03-15,1,0,15.730961646810274,0,0,0,9103.0,6649.0,729.0,Biotechnology,4
25000.0,IND,5,Chandigarh,Chandigarh,1,2007-12-05,2007-01-05,2007-01-05,0,0,10.12667110305036,0,0,0,2921.0,-334.0,0.0,Advertising,1
805908.0,GBR,H9,London,London,1,2001-01-01,2007-09-21,2007-09-21,0,0,13.59972611188891,0,0,0,5450.0,2454.0,0.0,Biotechnology,1
5800000.0,CAN,BC,Vancouver,Victoria,1,1996-01-01,2003-09-01,2003-09-01,1,1,15.573368647930426,0,0,0,7277.0,2800.0,0.0,Curated Web,2
5800000.0,missing,missing,missing,missing,2,,2007-06-21,2008-03-12,0,1,15.573368647930426,1,0,0,3259.0,548.0,265.0,missing,0
1833333.0,missing,missing,missing,missing,2,,2012-10-17,2014-02-04,0,0,14.421646725170888,1,0,0,3259.0,548.0,475.0,Doctors,3
5800000.0,missing,missing,missing,missing,1,,2015-02-16,2015-02-16,0,1,15.573368647930426,1,0,0,3259.0,548.0,0.0,missing,0
21800000.0,USA,CA,San Diego,Carlsbad,1,,2007-07-17,2007-07-17,1,0,16.897420573630875,1,0,0,3259.0,548.0,0.0,Innovation Engineering,3
186036236.0,BEL,8,BEL - Other,Zwijnaarde,6,2001-01-01,2002-09-25,2014-08-13,1,0,19.041452035282667,0,0,0,5450.0,632.0,4340.0,Biotechnology,1
510000000.0,USA,CO,CO - Other,Loveland,2,2007-01-01,2010-07-06,2010-12-15,0,0,20.04992128564343,0,0,0,3259.0,1282.0,162.0,Clean Technology,2
5800000.0,IRL,7,Dublin,Dublin,1,,2004-03-31,2004-03-31,1,1,15.573368647930426,1,0,0,3259.0,548.0,0.0,Curated Web,2
5800000.0,missing,missing,missing,missing,1,,2013-04-21,2013-04-21,1,1,15.573368647930426,1,0,0,3259.0,548.0,0.0,missing,0
451198.382904996,missing,missing,missing,missing,1,,2005-08-12,2005-08-12,0,0,13.019664611489953,1,0,0,3259.0,548.0,0.0,Education,1
1400000.0,USA,AZ,Phoenix,Scottsdale,1,1995-01-01,2015-05-18,2015-05-18,1,0,14.151983508870947,0,0,0,7642.0,7442.0,0.0,Engineering Firms,3
60000.0,USA,GA,Atlanta,Atlanta,1,2008-01-01,2010-02-23,2010-02-23,0,0,11.002116507732017,0,0,0,2894.0,784.0,0.0,E-Commerce,1
64640151.5803158,GBR,H9,London,London,2,2002-01-01,2014-07-07,2015-11-24,1,0,17.984346332637134,0,0,0,5085.0,4570.0,505.0,Biotechnology,1
